route_id,source_name,source_description,display_name,display_summary,display_description,garmin_name,distance_miles,origin,gpx_file_name,gpx_url,garmin_url,garmin_embed_url,notes
6993316,Mill Creek Park,47th St W through the Plaza to Brush Creek around Kauffman Lake to Rockhill to 43rd St.,Mill Creek Park,,47th St W through the Plaza to Brush Creek around Kauffman Lake to Rockhill to 43rd St.,"Mill Creek Park: 47th through Plaza, Brush Creek around Kauffman, Rockhill",4.0314,mill_creek,6993316-Mill-Creek-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6993316-Mill-Creek-Park.gpx,https://connect.garmin.com/app/course/439243029,,
6976675,Mill Creek,"43rd to Rockhilll, UMKC Stairs, 51st - Rockwell - Westwood, Wyoming, 47th, Mill Creek Park",Mill Creek,,"43rd to Rockhilll, UMKC Stairs, 51st - Rockwell - Westwood, Wyoming, 47th, Mill Creek Park","Mill Creek: 43rd, Rockhilll, UMKC Stairs",4.5865,mill_creek,6976675-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/6976675-Mill-Creek.gpx,https://connect.garmin.com/app/course/439243055,,
6947899,Loose Park,Crestwood from 55th and back on Morningside,Loose Park,,Crestwood from 55th and back on Morningside,"Loose Park: Crestwood from 55th, on Morningside",4.7701,loose_park,6947899-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6947899-Loose-Park.gpx,https://connect.garmin.com/app/course/439243074,,
6886331,Olathe - Hampton Park,Indian Creek Trail from Olathe,Olathe - Hampton Park,,Indian Creek Trail from Olathe,"Hampton Park: Olathe - Hampton Park, Indian Creek Trail from",4.3247,sunday,6886331-Olathe-Hampton-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6886331-Olathe-Hampton-Park.gpx,https://connect.garmin.com/app/course/439243118,,
6823543,Case Park,7th St E Washington N 8th E to Delaware St N to 3rd St E to Main St N to Riverfront Trail to Casino and back,Case Park,,7th St E Washington N 8th E to Delaware St N to 3rd St E to Main St N to Riverfront Trail to Casino and back,"Case Park: 7th Washington 8th, Delaware, 3rd",5.1043,sunday,6823543-Case-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/6823543-Case-Park.gpx,https://connect.garmin.com/app/course/439243142,,
6776046,Mill Creek,47th to Roanoke to Bell N to 39th to Wyoming N to Valentine Rd and S on Pennsylvania - Part of the Valentine Run,Mill Creek,,47th to Roanoke to Bell N to 39th to Wyoming N to Valentine Rd and S on Pennsylvania - Part of the Valentine Run,"Mill Creek: 47th, Roanoke, Bell",5.0274,mill_creek,6776046-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/6776046-Mill-Creek.gpx,https://connect.garmin.com/app/course/439243177,,
6753570,Mill Creek,Trolley Trail to 63rd St via Oak St.,Mill Creek,,Trolley Trail to 63rd St via Oak St.,"Mill Creek: Trolley Trail, 63rd via Oak",5.9334,mill_creek,6753570-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/6753570-Mill-Creek.gpx,https://connect.garmin.com/app/course/439243202,,
6753504,Mill Creek,Hyde Park - Wyandotte N to 36th St E to Harrison S to Gillham to 42nd St. to Oak S to 43rd St and back to the start.,Mill Creek,,Hyde Park - Wyandotte N to 36th St E to Harrison S to Gillham to 42nd St. to Oak S to 43rd St and back to the start.,"Mill Creek: Hyde Park - Wyandotte, 36th, Harrison",3.8092,mill_creek,6753504-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/6753504-Mill-Creek.gpx,https://connect.garmin.com/app/course/439243220,,
6750436,Mill Creek,North up Wyandotte to Liberty Memorial and back,Mill Creek,,North up Wyandotte to Liberty Memorial and back,"Mill Creek: up Wyandotte, Liberty Memorial",4.7229,mill_creek,6750436-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/6750436-Mill-Creek.gpx,https://connect.garmin.com/app/course/439243228,,
6722985,Line Creek Trail,Starting at N. Gower Rd & NW Waukomis Dr. by 68th St and going north to Barry Road and back.,Line Creek Trail,,Starting at N. Gower Rd & NW Waukomis Dr. by 68th St and going north to Barry Road and back.,"Line Creek Trail: Gower & NW, by 68th, going",5.1124,sunday,6722985-Line-Creek-Trail.gpx,https://kcfrontrunners.github.io/routes/gpx/6722985-Line-Creek-Trail.gpx,https://connect.garmin.com/app/course/439243254,,
6618196,Mission Hills City Hall,Tomahawk Rd to 71st Terrace to Belinder N to Tomahawk Rd,Mission Hills City Hall,,Tomahawk Rd to 71st Terrace to Belinder N to Tomahawk Rd,"Mission Hills City Hall: Tomahawk, 71st Terrace, Belinder",5.5958,sunday,6618196-Mission-Hills-City-Hall.gpx,https://kcfrontrunners.github.io/routes/gpx/6618196-Mission-Hills-City-Hall.gpx,https://connect.garmin.com/app/course/439243357,,
